A1 NumberofProtons,A2 NumberofProtons,B NumberofProtons,X1 NumberofProtons,X2 NumberofProtons,X3 NumberofProtons,X4 NumberofProtons,Ion NumberofProtons,A1 NumberofNeutrons,A2 NumberofNeutrons,B NumberofNeutrons,X1 NumberofNeutrons,X2 NumberofNeutrons,X3 NumberofNeutrons,X4 NumberofNeutrons,Ion NumberofNeutrons,A1 Number of Shells,A2 Number of Shells,B Number of Shells,X1 Number of Shells,X2 Number of Shells,X3 Number of Shells,X4 Number of Shells,Ion Number of Shells,A1 Specific Heat,A2 Specific Heat,B Specific Heat,X1 Specific Heat,X2 Specific Heat,X3 Specific Heat,X4 Specific Heat,Ion Specific Heat,A1 Density,A2 Density,B Density,X1 Density,X2 Density,X3 Density,X4 Density,Ion Density,A1 AtomicRadius,A2 AtomicRadius,B AtomicRadius,X1 AtomicRadius,X2 AtomicRadius,X3 AtomicRadius,X4 AtomicRadius,Ion AtomicRadius,A1 Firstionization,A2 Firstionization,B Firstionization,X1 Firstionization,X2 Firstionization,X3 Firstionization,X4 Firstionization,Ion Firstionization,A1 AtomicMass,A2  AtomicMass,B  AtomicMass,X1 AtomicMass,X2 AtomicMass,X3 AtomicMass,X4 AtomicMass,Ion AtomicMass,A1 Melting Point,A2 Melting Point,B Melting Point,X1 Melting Point,X2 Melting Point,X3 Melting Point,X4 Melting Point,Ion Melting Point,Adsorption energy(ev)
3,3,32,9,9,9,9,3,4,4,41,10,10,10,10,4,2,2,4,2,2,2,2,2,3.582,3.582,0.32,0.824,0.824,0.824,0.824,3.582,0.534,0.534,5.32,0.0017,0.0017,0.0017,0.0017,0.534,2.1,2.1,1.5,0.57,0.57,0.57,0.57,2.1,5.3917,5.3917,7.8994,17.4228,17.4228,17.4228,17.4228,5.3917,6.941,6.941,72.64,18.998,18.998,18.998,18.998,6.941,453.85,453.85,1211.45,53.63,53.63,53.63,53.63,453.85,-7.004905301
3,3,32,9,9,9,9,30,4,4,41,10,10,10,10,35,2,2,4,2,2,2,2,4,3.582,3.582,0.32,0.824,0.824,0.824,0.824,0.388,0.534,0.534,5.32,0.0017,0.0017,0.0017,0.0017,7.13,2.1,2.1,1.5,0.57,0.57,0.57,0.57,1.5,5.3917,5.3917,7.8994,17.4228,17.4228,17.4228,17.4228,9.3942,6.941,6.941,72.64,18.998,18.998,18.998,18.998,65.38,453.85,453.85,1211.45,53.63,53.63,53.63,53.63,692.88,0.395232218
3,3,32,9,9,9,9,19,4,4,41,10,10,10,10,20,2,2,4,2,2,2,2,4,3.582,3.582,0.32,0.824,0.824,0.824,0.824,0.757,0.534,0.534,5.32,0.0017,0.0017,0.0017,0.0017,0.862,2.1,2.1,1.5,0.57,0.57,0.57,0.57,2.8,5.3917,5.3917,7.8994,17.4228,17.4228,17.4228,17.4228,4.3407,6.941,6.941,72.64,18.998,18.998,18.998,18.998,39.098,453.85,453.85,1211.45,53.63,53.63,53.63,53.63,336.5,-6.580689236
3,3,32,9,9,9,9,11,4,4,41,10,10,10,10,12,2,2,4,2,2,2,2,3,3.582,3.582,0.32,0.824,0.824,0.824,0.824,1.228,0.534,0.534,5.32,0.0017,0.0017,0.0017,0.0017,0.971,2.1,2.1,1.5,0.57,0.57,0.57,0.57,2.2,5.3917,5.3917,7.8994,17.4228,17.4228,17.4228,17.4228,5.1391,6.941,6.941,72.64,18.998,18.998,18.998,18.998,22.99,453.85,453.85,1211.45,53.63,53.63,53.63,53.63,371.15,-5.557394705
3,3,32,9,9,9,9,13,4,4,41,10,10,10,10,14,2,2,4,2,2,2,2,3,3.582,3.582,0.32,0.824,0.824,0.824,0.824,0.897,0.534,0.534,5.32,0.0017,0.0017,0.0017,0.0017,2.7,2.1,2.1,1.5,0.57,0.57,0.57,0.57,1.8,5.3917,5.3917,7.8994,17.4228,17.4228,17.4228,17.4228,5.9858,6.941,6.941,72.64,18.998,18.998,18.998,18.998,26.982,453.85,453.85,1211.45,53.63,53.63,53.63,53.63,933.4,2.60843733
3,3,32,9,9,9,9,20,4,4,41,10,10,10,10,20,2,2,4,2,2,2,2,4,3.582,3.582,0.32,0.824,0.824,0.824,0.824,0.647,0.534,0.534,5.32,0.0017,0.0017,0.0017,0.0017,1.54,2.1,2.1,1.5,0.57,0.57,0.57,0.57,2.2,5.3917,5.3917,7.8994,17.4228,17.4228,17.4228,17.4228,6.1132,6.941,6.941,72.64,18.998,18.998,18.998,18.998,40.078,453.85,453.85,1211.45,53.63,53.63,53.63,53.63,1112.15,-4.458869904
3,3,32,9,9,9,9,12,4,4,41,10,10,10,10,12,2,2,4,2,2,2,2,3,3.582,3.582,0.32,0.824,0.824,0.824,0.824,1.023,0.534,0.534,5.32,0.0017,0.0017,0.0017,0.0017,1.74,2.1,2.1,1.5,0.57,0.57,0.57,0.57,1.7,5.3917,5.3917,7.8994,17.4228,17.4228,17.4228,17.4228,7.6462,6.941,6.941,72.64,18.998,18.998,18.998,18.998,24.305,453.85,453.85,1211.45,53.63,53.63,53.63,53.63,923.15,-2.617333558
3,3,32,9,9,9,9,9,4,4,41,10,10,10,10,10,2,2,4,2,2,2,2,2,3.582,3.582,0.32,0.824,0.824,0.824,0.824,0.824,0.534,0.534,5.32,0.0017,0.0017,0.0017,0.0017,0.0017,2.1,2.1,1.5,0.57,0.57,0.57,0.57,0.57,5.3917,5.3917,7.8994,17.4228,17.4228,17.4228,17.4228,17.4228,6.941,6.941,72.64,18.998,18.998,18.998,18.998,18.998,453.85,453.85,1211.45,53.63,53.63,53.63,53.63,53.63,-13.35827855
11,11,32,9,9,9,9,3,12,12,41,10,10,10,10,4,3,3,4,2,2,2,2,2,1.228,1.228,0.32,0.824,0.824,0.824,0.824,3.582,0.971,0.971,5.32,0.0017,0.0017,0.0017,0.0017,0.534,2.2,2.2,1.5,0.57,0.57,0.57,0.57,2.1,5.1391,5.1391,7.8994,17.4228,17.4228,17.4228,17.4228,5.3917,22.99,22.99,72.64,18.998,18.998,18.998,18.998,6.941,371.15,371.15,1211.45,53.63,53.63,53.63,53.63,453.85,-6.304996168
11,11,32,9,9,9,9,30,12,12,41,10,10,10,10,35,3,3,4,2,2,2,2,4,1.228,1.228,0.32,0.824,0.824,0.824,0.824,0.388,0.971,0.971,5.32,0.0017,0.0017,0.0017,0.0017,7.13,2.2,2.2,1.5,0.57,0.57,0.57,0.57,1.5,5.1391,5.1391,7.8994,17.4228,17.4228,17.4228,17.4228,9.3942,22.99,22.99,72.64,18.998,18.998,18.998,18.998,65.38,371.15,371.15,1211.45,53.63,53.63,53.63,53.63,692.88,0.779810172
11,11,32,9,9,9,9,19,12,12,41,10,10,10,10,20,3,3,4,2,2,2,2,4,1.228,1.228,0.32,0.824,0.824,0.824,0.824,0.757,0.971,0.971,5.32,0.0017,0.0017,0.0017,0.0017,0.862,2.2,2.2,1.5,0.57,0.57,0.57,0.57,2.8,5.1391,5.1391,7.8994,17.4228,17.4228,17.4228,17.4228,4.3407,22.99,22.99,72.64,18.998,18.998,18.998,18.998,39.098,371.15,371.15,1211.45,53.63,53.63,53.63,53.63,336.5,-4.859987159
11,11,32,9,9,9,9,11,12,12,41,10,10,10,10,12,3,3,4,2,2,2,2,3,1.228,1.228,0.32,0.824,0.824,0.824,0.824,1.228,0.971,0.971,5.32,0.0017,0.0017,0.0017,0.0017,0.971,2.2,2.2,1.5,0.57,0.57,0.57,0.57,2.2,5.1391,5.1391,7.8994,17.4228,17.4228,17.4228,17.4228,5.1391,22.99,22.99,72.64,18.998,18.998,18.998,18.998,22.99,371.15,371.15,1211.45,53.63,53.63,53.63,53.63,371.15,-4.392485732
11,11,32,9,9,9,9,13,12,12,41,10,10,10,10,14,3,3,4,2,2,2,2,3,1.228,1.228,0.32,0.824,0.824,0.824,0.824,0.897,0.971,0.971,5.32,0.0017,0.0017,0.0017,0.0017,2.7,2.2,2.2,1.5,0.57,0.57,0.57,0.57,1.8,5.1391,5.1391,7.8994,17.4228,17.4228,17.4228,17.4228,5.9858,22.99,22.99,72.64,18.998,18.998,18.998,18.998,26.982,371.15,371.15,1211.45,53.63,53.63,53.63,53.63,933.4,2.445059067
11,11,32,9,9,9,9,20,12,12,41,10,10,10,10,20,3,3,4,2,2,2,2,4,1.228,1.228,0.32,0.824,0.824,0.824,0.824,0.647,0.971,0.971,5.32,0.0017,0.0017,0.0017,0.0017,1.54,2.2,2.2,1.5,0.57,0.57,0.57,0.57,2.2,5.1391,5.1391,7.8994,17.4228,17.4228,17.4228,17.4228,6.1132,22.99,22.99,72.64,18.998,18.998,18.998,18.998,40.078,371.15,371.15,1211.45,53.63,53.63,53.63,53.63,1112.15,-4.034477
